postgraduate_num,state,name,undergraduate_num,rank,country,city,website
"10,618*(6)",马里兰州,约翰霍普金斯大学 ,"5,386*(6)",10,美国,巴尔的摩,www.jhu.edu*(6)
"≈14,500*(3)",马萨诸塞州,哈佛大学 ,"≈6,700*(3)",1,美国,剑桥（马萨诸塞州）,www.harvard.edu
"2,736*(3)",新泽西州,普林斯顿大学 ,"5,402*(3)",9,美国,普林斯顿,www.princeton.edu
"1,254*(7)",加利福尼亚州,加州理工学院 ,"1,001*(7)",6,美国,帕萨迪纳,www.caltech.edu
"21,,691*(3)",纽约州,哥伦比亚大学 ,"8,613*(3)",8,美国,纽约市,www.columbia.edu
"10,708*(5)",加利福尼亚州,加州大学伯克利分校 ,"27,496 *(5)",4,美国,伯克利,www.berkeley.edu
"9,771*(3)",加利福尼亚州,斯坦福大学 ,"6,999*(3)",3,美国,斯坦福,www.stanford.edu
"6,804*(7)",马萨诸塞州,麻省理工学院 ,"4,527*(7)",2,美国,剑桥,"www.,mit,.edu"
